time,4kb_alloc,2mb_alloc,1gb_alloc,1gb_free,2mb_free,4kb_free
400000000,35395534,35010560,22020096,21757952,2898944,17134642
402000000,35561108,35177472,20971520,22806528,2776576,16924524
404000000,35813935,35375616,20971520,22806528,2627072,16623057
406000000,36068805,35680256,20709376,23068672,2379776,16310843
408000000,36177377,35784704,20709376,22806528,2610176,16129567
410000000,36324945,35897344,20709376,22806528,2557440,15922095
412000000,36489936,36085248,19660800,23855104,2432000,15694640
414000000,36743174,36346368,18612224,24903680,2227200,15385082
416000000,36933621,36477952,19136512,24379392,2146304,15143947
418000000,37009224,36531200,19398656,24117248,2168320,14993080
420000000,37015917,36518400,20447232,23068672,2249216,14918291
422000000,36861511,36381184,22020096,21495808,2516480,14942649
424000000,36736376,36243968,21233664,22282240,2753024,14968456
426000000,36615081,36113408,22282240,21495808,2738176,14973015
428000000,36476958,36044800,22544384,21233664,2921984,14995938
430000000,36348600,35914240,22282240,21495808,3186688,14990152
432000000,36336924,35855872,21757952,22020096,3355648,14891236
434000000,36260094,35776000,21757952,22020096,3554304,14849282
436000000,36203019,35722240,22282240,21495808,3731456,14782965
438000000,36154319,35705344,22544384,21233664,3872768,14707249
440000000,36105499,35672064,22282240,21495808,4040192,14621925
442000000,35992191,35611648,22806528,20971520,4229120,14606721
444000000,35783627,35387904,24117248,19660800,4595200,14672949
446000000,35554193,35152896,24903680,18874368,4987904,14744687
448000000,35261936,34833408,25165824,18612224,5475840,14868496
450000000,35011132,34614784,25427968,18350080,5844480,14969284
452000000,34796430,34420224,25952256,17825792,6211072,15011954
454000000,34508960,34149888,27000832,16777216,6667776,15113056
456000000,34346445,34003456,26214400,17563648,6972928,15116851
458000000,34235318,33884672,27000832,16777216,7256064,15063626
460000000,34089104,33776128,27000832,16777216,7558656,15015792
462000000,33962414,33633792,27000832,16777216,7882240,14961234
464000000,33899119,33546752,26214400,17563648,8148992,14844817
466000000,33962980,33633792,25952256,17825792,8228352,14614556
468000000,34026602,33721856,25427968,18350080,8303104,14388118
470000000,34087188,33787904,25165824,18612224,8386560,14178028
472000000,34055024,33741312,26476544,17301504,8602112,14041232
474000000,33929692,33601024,28049408,15728640,8935424,13973540
476000000,33707265,33307136,28311552,15466496,9425408,13999871
478000000,33452269,33081856,27787264,15990784,9848320,14057235
480000000,33419985,33075200,27525120,16252928,10029568,13914927
482000000,33306614,32969216,28049408,15728640,10329088,13834762
484000000,33258675,32950272,27525120,16252928,10510336,13720397
486000000,33167615,32801280,28311552,15466496,10820608,13650177
488000000,33060482,32721920,28835840,14942208,11056640,13600638
490000000,32932958,32525312,28835840,14942208,11440640,13540770
492000000,32959351,32503296,28311552,15466496,11632128,13344905
494000000,32908811,32461312,28835840,14942208,11840000,13229557
496000000,32953463,32487936,28311552,15466496,11971584,13026697
498000000,32987051,32510464,28311552,15466496,12102144,12840021
500000000,33034278,32552448,28049408,15728640,12204032,12648922
502000000,33032278,32588288,27525120,16252928,12339712,12479402
504000000,33095983,32655872,27262976,16515072,12420608,12267217
506000000,33197234,32750080,27000832,16777216,12474880,12017486
508000000,33248759,32847872,28049408,15728640,12533760,11809289
510000000,33125386,32719872,28311552,15466496,12824576,11769846
512000000,33002301,32576000,28835840,14942208,13118976,11742403
514000000,32875147,32445952,29360128,14417920,13410816,11707765
516000000,32786828,32335872,28835840,14942208,13680128,11636852
518000000,32811458,32318464,27787264,15990784,13847040,11462718
520000000,32873949,32407040,28311552,15466496,13889536,11269155
522000000,32810150,32332288,28573696,15204352,14092288,11204954
524000000,32808610,32303104,28835840,14942208,14257664,11070302
526000000,32845538,32364544,28311552,15466496,14335488,10894110
528000000,32880646,32378880,28835840,14942208,14448640,10731514
530000000,32859615,32342016,29097984,14680064,14622720,10615329
532000000,32887379,32352768,27262976,16515072,14746112,10453421
534000000,33080397,32563200,27000832,16777216,14646784,10149299
536000000,33171239,32646656,26738688,17039360,14685696,9936089
538000000,33342693,32777216,27000832,16777216,14663680,9656091
540000000,33438507,32887296,25690112,18087936,14657536,9456341
542000000,33691027,33123328,24903680,18874368,14521856,9103469
544000000,33944710,33362432,24903680,18874368,14368768,8763770
546000000,34169667,33545216,24903680,18874368,14280192,8444605
548000000,34362677,33771520,23855104,19922944,14161408,8144075
550000000,34466064,33831424,24903680,18874368,14197760,7944432
552000000,34649962,33936384,24117248,19660800,14194688,7658646
554000000,34775673,34107392,24379392,19398656,14118912,7437703
556000000,34833611,34214912,24903680,18874368,14104064,7287093
558000000,34722919,34119680,25952256,17825792,14303232,7293849
560000000,34527881,33984000,26738688,17039360,14534144,7393655
562000000,34361587,33879552,26738688,17039360,14770176,7428365
564000000,34352190,33832448,24379392,19398656,14907392,7347650
566000000,34399114,33918464,25952256,17825792,14926336,7195766
568000000,34300927,33782784,25952256,17825792,15164928,7191041
570000000,34242861,33716224,25952256,17825792,15320576,7160019
572000000,34245444,33804800,25952256,17825792,15316992,7072444
